num_epochs,num_cars,reckless,cautious,normal,avg_diff_speed_reckless,avg_diff_speed_cautious,avg_diff_speed_normal
,30,0.1,0.6,0.3,99.70289099444167,184.7805838762708,65.12385901858124
,30,0.1,0.6,0.3,108.91169686044374,133.60664572680977,136.20160748293517
,30,0.1,0.7,0.2,100.61558392441108,129.877120976481,95.7571213618217
,30,0.1,0.7,0.2,117.43955503686064,124.5162644107711,105.89572872449916
,30,0.1,0.7,0.2,136.8363550382228,149.12281335829726,89.5851663099561
,30,0.1,0.8,0.0999999999999999,172.1860093953759,183.7229909838101,0.0
,30,0.1,0.8,0.0999999999999999,120.97687123028037,125.11582583949463,127.93411397211852
,30,0.1,0.8,0.0999999999999999,118.48832511468294,149.52175405863574,106.41010836272906
,30,0.1,0.9,0.0,67.88767762335277,139.26720131093663,0.0
,30,0.1,0.9,0.0,80.42484399032733,164.83228762336427,0.0
,30,0.1,0.9,0.0,112.09373120571357,135.2806770972495,0.0
,30,0.2,0.0,0.8,81.25591662701612,0.0,65.71454510436212
,30,0.2,0.0,0.8,94.04488522576445,0.0,68.80058270476471
,30,0.2,0.0,0.8,72.16578694667317,0.0,70.70192427580584
,30,0.2,0.1,0.7000000000000001,127.38572813368263,155.12037014060502,81.01950359196897
,30,0.2,0.1,0.7000000000000001,132.14394655822866,107.0136995111065,75.21791065047333
,30,0.2,0.1,0.7000000000000001,113.3866792776211,88.0381017645666,72.50087664540857
,30,0.2,0.2,0.6000000000000001,77.77459340819568,95.8473525177469,76.84015249978705
,30,0.2,0.2,0.6000000000000001,91.88870322640102,185.74087615113604,95.8238392119647
,30,0.2,0.2,0.6000000000000001,139.08440049448163,209.51459842336504,113.18157096463466
,30,0.2,0.3,0.5,112.86427503843724,115.91256093978085,70.36536283219363
,30,0.2,0.3,0.5,87.55404964678473,131.46793245004807,81.5914365827422
,30,0.2,0.3,0.5,102.0455587457136,110.14971469573165,87.26254066882288
,30,0.2,0.4,0.4,115.23782200302578,120.40061048698615,103.66065963308104
,30,0.2,0.4,0.4,93.60878722316748,115.38915031330129,98.35520176690372
,30,0.2,0.4,0.4,96.49361762349652,139.98258425332745,72.47628942734488
,30,0.2,0.5,0.3,89.5750158463947,145.1279566949118,87.30545415619105
,30,0.2,0.5,0.3,78.51946126606272,101.26142378520242,103.33844714181654
,30,0.2,0.5,0.3,77.56427953176615,127.6093092921964,83.76681563294025
,30,0.2,0.6,0.2,69.86533959079249,132.5435736545501,86.31750685482513
,30,0.2,0.6,0.2,83.54000298389538,142.05551800349303,76.77313102257375
,30,0.2,0.6,0.2,123.64152413176492,144.98883380371262,100.62234635178748
,30,0.2,0.7,0.1,105.13433036196594,147.87248661243535,47.83730976606932
,30,0.2,0.7,0.1,113.1522957866656,152.70425687675632,72.13085452929043
,30,0.2,0.7,0.1,89.9509504030632,160.6164002691698,148.05201264845766
,30,0.2,0.8,0.0,106.31788603385756,134.5334776394821,0.0
,30,0.2,0.8,0.0,144.45379630090153,185.26170885115167,0.0
,30,0.2,0.8,0.0,115.01745671276856,141.15822172819662,0.0
,30,0.3,0.0,0.7,89.26262264071815,0.0,75.57407135249687
,30,0.3,0.0,0.7,97.03112499707356,0.0,57.45522187240159
,30,0.3,0.0,0.7,100.53280279238992,0.0,64.31171668412378
,30,0.3,0.1,0.6,84.16952726243589,126.5095793484617,66.8693636704642
,30,0.3,0.1,0.6,115.06211155209128,103.80039286700988,59.11401624594653
,30,0.3,0.1,0.6,65.16923920447758,56.91428319372017,89.4357660140345
,30,0.3,0.2,0.4999999999999999,86.69383938837845,99.95268429782422,61.18397835182085
,30,0.3,0.2,0.4999999999999999,83.30461499037196,127.51935517956888,99.2344487557933
,30,0.3,0.2,0.4999999999999999,124.63058883437957,96.66336517374478,97.38017804249492
,30,0.3,0.3,0.3999999999999999,81.88192912680941,66.95820493835762,77.65467199213971
,30,0.3,0.3,0.3999999999999999,112.19587489166872,99.49561020657998,86.03795139322162
,30,0.3,0.3,0.3999999999999999,94.5519301226488,90.56932647279164,73.80456956198003
,30,0.3,0.4,0.2999999999999999,92.11201146527242,141.82500665310255,103.0168647794152
,30,0.3,0.4,0.2999999999999999,115.50136030362268,95.27907188798751,101.802439905099
,30,0.3,0.4,0.2999999999999999,84.94597150321803,120.28875439203487,64.79524332305517
,30,0.3,0.5,0.1999999999999999,79.45395966892838,142.03735495968638,90.4177043198445
,30,0.3,0.5,0.1999999999999999,119.2272398359402,151.9963979970603,100.3240111057878
,30,0.3,0.5,0.1999999999999999,89.75074175661568,123.45636698265729,77.78327872601703
